Root: 0.5907300950364348
a b anew bnew error 
0.1 1.0 0.10581803982819211 1.0 89.41819601718079 
0.10581803982819211 1.0 0.11145710786913127 1.0 88.85428921308687 
0.11145710786913127 1.0 0.1169081335664807 1.0 88.30918664335194 
0.1169081335664807 1.0 0.12216515148799614 1.0 87.78348485120038 
0.12216515148799614 1.0 0.12722486407442768 1.0 87.27751359255723 
0.12722486407442768 1.0 0.13208622127987185 1.0 86.79137787201282 
0.13208622127987185 1.0 0.13675003077432596 1.0 86.32499692256741 
0.13675003077432596 1.0 0.14121860647896955 1.0 85.87813935210305 
0.14121860647896955 1.0 0.1454954587423291 1.0 85.45045412576708 
0.1454954587423291 1.0 0.14958502629899229 1.0 85.04149737010077 
0.14958502629899229 1.0 0.15349244806186763 1.0 84.65075519381324 
0.15349244806186763 1.0 0.15722337154650856 1.0 84.27766284534914 
0.15722337154650856 1.0 0.16078379409156907 1.0 83.92162059084309 
0.16078379409156907 1.0 0.164179932836833 1.0 83.5820067163167 
0.164179932836833 1.0 0.16741811950186938 1.0 83.25818804981307 
0.16741811950186938 1.0 0.17050471626312227 1.0 82.94952837368777 
0.17050471626312227 1.0 0.1734460493752848 1.0 82.65539506247153 
0.1734460493752848 1.0 0.17624835756928106 1.0 82.3751642430719 
0.17624835756928106 1.0 0.17891775264826798 1.0 82.10822473517321 
0.17891775264826798 1.0 0.18146019007286965 1.0 81.85398099271303 
